Date,Responses,ObjectId
2021/03/31,501,290
2021/04/01,374,291
2021/04/02,443,292
2021/04/03,423,293
2021/04/04,451,294
2021/04/05,449,295
2021/04/06,455,296
2021/04/07,519,297
2021/04/08,462,298
2021/04/09,519,299
2021/04/10,398,300
2021/12/17,402,301
2021/12/18,425,302
2021/12/19,452,303
2021/12/20,476,304
2021/12/21,444,305
2021/12/22,450,306
2021/12/23,396,307
2021/12/24,388,308
2021/12/25,518,309
2021/12/26,427,310
2021/12/27,411,311
2021/12/28,447,312
2021/12/29,435,313
2021/12/30,528,314
2021/12/31,499,315
2022/01/01,506,316
2022/01/02,464,317
2022/01/03,405,318
2022/01/04,400,319
2022/01/05,408,320
2022/01/06,489,321
2022/01/07,493,322
2022/01/08,426,323
2022/01/09,437,324
2022/01/10,493,325
2022/01/11,413,326
2022/01/12,417,327
2022/01/13,486,328
2022/01/14,478,329
2022/01/15,486,330
2022/01/16,475,331
2022/01/17,471,332
2022/01/18,414,333
2022/01/19,410,334
2022/01/20,417,335
2022/01/21,491,336
2022/01/22,483,337
2022/01/23,459,338
2022/01/24,460,339
2022/01/25,411,340
2022/01/26,445,341
2022/01/27,431,342
2022/01/28,465,343
2022/01/29,442,344
2022/01/30,397,345
2022/01/31,392,346
2022/02/01,390,347
2022/02/02,398,348
2022/02/03,404,349
2022/02/04,462,350
2021/10/28,406,351
2021/10/29,393,352
2021/10/30,372,353
2021/10/31,367,354
2021/11/01,401,355
2021/11/02,387,356
2021/11/03,443,357
2021/11/04,417,358
2021/11/05,385,359
2021/11/06,345,360
2021/11/07,405,361
2021/11/08,455,362
2021/11/09,405,363
2021/11/10,388,364
2021/11/11,452,365
2021/11/12,466,366
2021/11/13,382,367
2021/11/14,398,368
2021/11/15,353,369
2021/11/16,398,370
2021/11/17,460,371
2021/11/18,450,372
2021/11/19,379,373
2021/11/20,424,374
2021/11/21,364,375
2021/11/22,407,376
2021/11/23,423,377
2021/11/24,414,378
2021/11/25,439,379
2021/11/26,433,380
2021/11/27,449,381
2021/11/28,444,382
2021/11/29,451,383
2021/11/30,428,384
2021/12/01,373,385
2021/12/02,420,386
2021/12/03,419,387
2021/12/04,423,388
2021/12/05,387,389
2021/12/06,390,390
2021/12/07,540,391
2021/12/08,402,392
2021/12/09,414,393
2021/12/10,441,394
2021/12/11,434,395
2021/12/12,433,396
2021/12/13,450,397
2021/12/14,437,398
2021/12/15,410,399
2021/12/16,429,400
2022/05/16,432,401
2022/05/17,417,402
2022/05/18,555,403
2022/05/19,477,404
2022/05/20,443,405
2022/05/21,392,406
2022/05/22,453,407
2022/05/23,437,408
2022/05/24,405,409
2022/05/25,543,410
2022/05/26,584,411
2022/05/27,628,412
2022/05/28,528,413
2022/05/29,626,414
2022/05/30,567,415
2022/05/31,580,416
2022/06/01,533,417
2022/06/02,566,418
2022/06/03,560,419
2022/06/04,582,420
2022/06/05,476,421
2022/06/06,548,422
2022/06/07,524,423
2022/06/08,634,424
2022/06/09,467,425
2022/06/10,483,426
2022/06/11,508,427
2022/06/12,390,428
2022/06/13,522,429
2022/06/14,590,430
2022/06/15,600,431
2022/06/16,607,432
2022/06/17,559,433
2022/06/18,496,434
2022/06/19,429,435
2022/06/20,505,436
2022/06/21,495,437
2022/06/22,446,438
2022/06/23,540,439
2022/06/24,592,440
2022/06/25,674,441
2022/06/26,631,442
2022/02/05,505,443
2022/06/27,583,444
2022/06/28,521,445
2022/06/29,498,446
2022/06/30,574,447
2022/07/01,643,448
2022/07/02,561,449
2022/07/03,525,450
2022/07/04,486,451
2022/02/06,426,452
2022/02/07,519,453
2022/02/08,476,454
2022/02/09,541,455
2022/02/10,518,456
2022/02/11,476,457
2022/02/12,493,458
2022/02/13,445,459
2022/02/14,495,460
2022/02/15,528,461
2022/02/16,503,462
2022/02/17,423,463
2022/02/18,484,464
2022/02/19,462,465
2022/02/20,403,466
2022/02/21,449,467
2022/02/22,408,468
2022/02/23,533,469
2022/02/24,424,470
2022/02/25,447,471
2022/02/26,490,472
2022/02/27,451,473
2022/02/28,515,474
2022/03/01,599,475
2022/03/02,654,476
2022/03/03,462,477
2022/03/04,489,478
2022/03/05,567,479
2022/03/06,620,480
2022/03/07,680,481
2022/03/08,506,482
2022/03/09,574,483
2022/03/10,492,484
2022/03/11,549,485
2022/03/12,542,486
2022/03/13,482,487
2022/03/14,490,488
2022/03/15,540,489
2022/03/16,530,490
2022/03/17,533,491
2022/03/18,528,492
2022/03/19,597,493
2022/03/20,536,494
2022/03/21,591,495
2022/03/22,524,496
2022/03/23,474,497
2022/03/24,545,498
2022/03/25,425,499
2022/03/26,586,500
2022/08/24,515,501
2022/08/25,489,502
2022/08/26,482,503
2022/08/27,522,504
2022/08/28,506,505
2022/08/29,668,506
2022/08/30,520,507
2022/08/31,633,508
2022/09/01,658,509
2022/09/02,529,510
2022/09/03,596,511
2022/09/04,502,512
2022/09/05,477,513
2022/09/06,459,514
2022/09/07,393,515
2022/09/08,477,516
2022/09/09,492,517
2022/09/10,492,518
2022/09/11,478,519
2022/09/12,582,520
2022/09/13,568,521
2022/09/14,567,522
2022/09/15,589,523
2022/09/16,590,524
2022/09/17,458,525
2022/09/18,489,526
2022/09/19,584,527
2022/09/20,607,528
2022/09/21,583,529
2022/09/22,483,530
2022/09/23,501,531
2022/09/24,467,532
2022/09/25,451,533
2022/09/26,497,534
2022/09/27,485,535
2022/09/28,463,536
2022/09/29,514,537
2022/09/30,507,538
2022/10/01,437,539
2022/10/02,425,540
2022/10/03,430,541
2022/10/04,491,542
2022/10/05,529,543
2022/10/06,548,544
2022/10/07,522,545
2022/10/08,471,546
2022/10/09,481,547
2022/10/10,495,548
2022/10/11,483,549
2022/10/12,454,550
2022/03/27,653,551
2022/03/28,704,552
2022/03/29,510,553
2022/03/30,601,554
2022/03/31,556,555
2022/04/01,470,556
2022/04/02,405,557
2022/04/03,414,558
2022/04/04,364,559
2022/04/05,450,560
2022/04/06,426,561
2022/04/07,411,562
2022/04/08,476,563
2022/04/09,420,564
2022/04/10,429,565
2022/04/11,415,566
2022/04/12,370,567
2022/04/13,434,568
2022/04/14,465,569
2022/04/15,464,570
2022/04/16,434,571
2022/04/17,331,572
2022/04/18,394,573
2022/04/19,423,574
2022/04/20,473,575
2022/04/21,455,576
2022/04/22,449,577
2022/04/23,436,578
2022/04/24,437,579
2022/04/25,503,580
2022/04/26,470,581
2022/04/27,436,582
2022/04/28,369,583
2022/04/29,372,584
2022/04/30,447,585
2022/05/01,440,586
2022/05/02,438,587
2022/05/03,385,588
2022/05/04,438,589
2022/05/05,551,590
2022/05/06,514,591
2022/05/07,349,592
2022/05/08,459,593
2022/05/09,410,594
2022/05/10,372,595
2022/05/11,439,596
2022/05/12,458,597
2022/05/13,424,598
2022/05/14,464,599
2022/05/15,454,600
2022/07/05,505,601
2022/10/13,527,602
2022/10/14,536,603
2022/10/15,498,604
2022/10/16,516,605
2022/10/17,423,606
2022/10/18,563,607
2022/10/19,408,608
2022/10/20,403,609
2022/10/21,490,610
2022/10/22,466,611
2022/10/23,512,612
2022/10/24,457,613
2022/10/25,440,614
2022/10/26,535,615
2022/10/27,480,616
2022/10/28,562,617
2022/10/29,429,618
2022/10/30,435,619
2022/10/31,551,620
2022/11/01,663,621
2022/11/02,539,622
2022/11/03,626,623
2022/11/04,541,624
2022/11/05,527,625
2022/11/06,619,626
2022/11/07,496,627
2022/11/08,420,628
2022/11/09,495,629
2022/11/10,525,630
2022/11/11,464,631
2022/11/12,533,632
2022/11/13,530,633
2022/11/14,537,634
2022/11/15,517,635
2022/11/16,510,636
2022/11/17,471,637
2022/11/18,560,638
2022/11/19,558,639
2022/11/20,617,640
2022/11/21,468,641
2022/11/22,456,642
2022/11/23,472,643
2022/11/24,510,644
2022/11/25,539,645
2022/11/26,421,646
2022/11/27,518,647
2022/11/28,506,648
2022/11/29,545,649
2022/11/30,756,650
2022/12/01,499,651
2022/07/06,476,652
2022/07/07,552,653
2022/07/08,564,654
2022/07/09,574,655
2022/07/10,608,656
2022/07/11,527,657
2022/07/12,601,658
2022/07/13,571,659
2022/07/14,593,660
2022/07/15,583,661
2022/07/16,653,662
2022/07/17,712,663
2022/07/18,636,664
2022/07/19,651,665
2022/07/20,468,666
2022/07/21,524,667
2022/07/22,480,668
2022/07/23,473,669
2022/07/24,550,670
2022/07/25,502,671
2022/07/26,509,672
2022/07/27,482,673
2022/07/28,611,674
2022/07/29,517,675
2022/07/30,498,676
2022/07/31,620,677
2022/08/01,488,678
2022/08/02,479,679
2022/08/03,508,680
2022/08/04,525,681
2022/08/05,523,682
2022/08/06,512,683
2022/08/07,586,684
2022/08/08,520,685
2022/08/09,536,686
2022/08/10,498,687
2022/08/11,517,688
2022/08/12,498,689
2022/08/13,454,690
2022/08/14,631,691
2022/08/15,505,692
2022/08/16,451,693
2022/08/17,493,694
2022/08/18,483,695
2022/08/19,495,696
2022/08/20,472,697
2022/08/21,525,698
2022/08/22,497,699
2022/08/23,453,700
2023/01/21,438,701
2023/01/22,449,702
2023/01/23,496,703
2023/01/24,516,704
2023/01/25,463,705
2023/01/26,468,706
2023/01/27,509,707
2023/01/28,451,708
2023/01/29,463,709
2023/01/30,526,710
2023/01/31,469,711
2023/02/01,463,712
2023/02/02,501,713
2023/02/03,475,714
2023/02/04,478,715
2023/02/05,489,716
2023/02/06,500,717
2023/02/07,519,718
2023/02/08,422,719
2023/02/09,491,720
2023/02/10,568,721
2023/02/11,483,722
2023/02/12,497,723
2023/02/13,546,724
2023/02/14,518,725
2023/02/15,507,726
2023/02/16,504,727
2023/02/17,498,728
2023/02/18,511,729
2023/02/19,520,730
2023/02/20,449,731
2023/02/21,549,732
2023/02/22,494,733
2023/02/23,476,734
2023/02/24,524,735
2023/02/25,495,736
2023/02/26,518,737
2023/02/27,594,738
2023/02/28,524,739
2023/03/01,578,740
2023/03/02,499,741
2023/03/03,575,742
2023/03/04,455,743
2023/03/05,500,744
2023/03/06,559,745
2023/03/07,466,746
2023/03/08,433,747
2023/03/09,532,748
2023/03/10,506,749
2023/03/11,497,750
2022/12/02,444,751
2022/12/03,471,752
2022/12/04,451,753
2022/12/05,475,754
2022/12/06,471,755
2022/12/07,505,756
2022/12/08,525,757
2022/12/09,567,758
2022/12/10,489,759
2022/12/11,523,760
2022/12/12,534,761
2022/12/13,519,762
2022/12/14,485,763
2022/12/15,546,764
2022/12/16,531,765
2022/12/17,473,766
2022/12/18,677,767
2022/12/19,728,768
2022/12/20,555,769
2022/12/21,504,770
2022/12/22,469,771
2022/12/23,542,772
2022/12/24,548,773
2022/12/25,522,774
2022/12/26,595,775
2022/12/27,534,776
2022/12/28,608,777
2022/12/29,628,778
2022/12/30,693,779
2022/12/31,510,780
2023/01/01,578,781
2023/01/02,563,782
2023/01/03,475,783
2023/01/04,468,784
2023/01/05,518,785
2023/01/06,506,786
2023/01/07,436,787
2023/01/08,473,788
2023/01/09,497,789
2023/01/10,472,790
